image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,1,1,1,0.0,18.0,-0.4760886568507986,-0.43587715598733157,0.04021150086346703,0.5388850530770597,-1.4489094021135474,0.5981103807920153,0.95,percentile,500,269,True
roi,1,2,2,1,0.0,18.0,0.8236220162130812,0.7687483527613604,-0.05487366345172073,0.5076085274780624,-0.18032124908314934,1.7393428674891374,0.95,percentile,500,269,True
roi,1,3,3,1,0.0,18.0,-0.2639256807094561,-0.20561919427658026,0.05830648643287584,0.4328040095766763,-1.0488139206861402,0.7167801499109464,0.95,percentile,500,269,True
roi,1,4,4,1,0.0,18.0,-0.13895147783796982,-0.09483078254109541,0.044120695296874415,0.4277578539574088,-0.8399839261573167,0.8504761454355566,0.95,percentile,500,269,True
roi,1,5,5,1,0.0,18.0,0.40047260114065353,0.34969712468034675,-0.05077547646030678,0.3205534146336654,-0.44602782060106805,0.9183806729426689,0.95,percentile,500,269,True
roi,1,6,6,1,0.0,18.0,-0.003936526617192481,0.02709735248887921,0.03103387910607169,0.3121713234944742,-0.5359303630596164,0.6051273202213003,0.95,percentile,500,269,True
roi,1,7,1,2,0.0,18.0,0.04226830485616558,0.09225275454294031,0.04998444968677473,0.335849100664731,-0.5549346815046494,0.7803452233133746,0.95,percentile,500,269,True
roi,1,8,2,2,0.0,18.0,0.11541524559054969,0.05138231263675866,-0.06403293295379103,0.437961891276785,-0.8900652865229229,0.786393467576382,0.95,percentile,500,269,True
roi,1,9,3,2,0.0,18.0,0.6222936858856479,0.7055802636503258,0.08328657776467785,0.46586474160168895,-0.03985435774613812,1.8286082616578172,0.95,percentile,500,269,True
roi,1,10,4,2,0.0,18.0,-0.6499267790046388,-0.6904514356074157,-0.04052465660277693,0.4878690776276371,-1.7937534892471316,0.22724103675394552,0.95,percentile,500,269,True
roi,1,11,5,2,0.0,18.0,-0.036000796879672475,0.00646608377330647,0.04246688065297895,0.3714748840984066,-0.6784921063042687,0.7790725461049367,0.95,percentile,500,269,True
roi,1,12,6,2,0.0,18.0,0.2914482823357732,0.26169523494380076,-0.02975304739197243,0.2265168979310903,-0.1600688839497462,0.7400627288006423,0.95,percentile,500,269,True
roi,1,1,1,1,0.01,18.61,-0.4570968712086578,-0.41773250021312824,0.03936437099552953,0.5264056398827458,-1.3852582122595998,0.5955988212013639,0.95,percentile,500,269,True
roi,1,2,2,1,0.01,18.61,0.7948546478877695,0.7401315669037326,-0.05472308098403689,0.4943811005271933,-0.1805924405069065,1.692514928009121,0.95,percentile,500,269,True
roi,1,3,3,1,0.01,18.61,-0.24755158528840207,-0.190407634498713,0.05714395078968906,0.41921201544991227,-1.0057042419650633,0.7046692938460134,0.95,percentile,500,269,True
roi,1,4,4,1,0.01,18.61,-0.12559225163648294,-0.08375899804668382,0.04183325358979911,0.4150588490574872,-0.8054853196188265,0.8354636160678978,0.95,percentile,500,269,True
roi,1,5,5,1,0.01,18.61,0.3795301560467203,0.33158422658062364,-0.04794592946609666,0.3098948871302059,-0.44058745458427806,0.8814922338025782,0.95,percentile,500,269,True
roi,1,6,6,1,0.01,18.61,0.01921261674087365,0.04899745605260661,0.02978483931173296,0.30413590558881115,-0.5031484303347202,0.6225113568890218,0.95,percentile,500,269,True
